,asia_1_mean,asia_1_stdev,asia_2_mean,asia_2_stdev,earthquake_1_mean,earthquake_1_stdev,earthquake_2_mean,earthquake_2_stdev,survey_1_mean,survey_1_stdev,survey_2_mean,survey_2_stdev
dappl,1.1141300201425999,0.8282574003672544,3.8261413574239995,0.04843712697955338,0.5370140075683999,0.014534228115527124,2.7382373809819995,0.04445237523332276,6.970977783204,0.06173698912816703,76.5941143036,0.14570539443301636
problog,18.319999999999997,0.15999999999999903,25.68,0.09797958971132767,7.340000000000001,0.04898979485566369,19.900000000000002,0.06324555320336829,190.58000000000004,0.9620810776644553,98.91999999999997,0.54184868736576
derk,60.4893684387207,2.8180318602760135,70.33886909484863,0.42514073676711284,9.326362609863281,0.03278670718162308,17.707109451293945,0.14890869401203413,1928.140115737915,10.761297065354237,6755.287027359009,823.1712805801033
