,1_mean,1_stdev,2_mean,2_stdev,5_mean,5_stdev,10_mean,10_stdev,20_mean,20_stdev,50_mean,50_stdev,100_mean,100_stdev,200_mean,200_stdev,500_mean,500_stdev,1000_mean,1000_stdev
dappl,1.3926029205319999,0.14974076212721588,1.1683940887460003,0.17489094722555237,1.330995559692,0.21282757874452027,1.9177436828620003,0.09805998196999768,3.8224220275880003,0.04166847447825313,17.23098754882,0.2005686713611577,61.58418655398,0.5559099293632375,271.18682861339994,2.0590925693455837,2031.2809944139997,8.685498393015829,7628.627967832,8.222894229253757
problog,5.4399999999999995,0.12000000000000013,14.300000000000002,0.19999999999999984,10158.080000000002,76.81607644236979,,,,,,,,,,,,,,
derk,3.8155555725097656,0.04953523390813563,14.756011962890625,0.6434999054133028,1132.7279567718506,37.92583363394381,,,,,,,,,,,,,,
