,1_mean,1_stdev,2_mean,2_stdev,3_mean,3_stdev,4_mean,4_stdev,5_mean,5_stdev,6_mean,6_stdev,7_mean,7_stdev,8_mean,8_stdev,9_mean,9_stdev,10_mean,10_stdev
dappl,1.2454032897919998,0.04779816244702488,3.539752960204,0.12349229952465554,12.115812301640002,0.25485938439405464,552.8808116914,5.38241699313087,24773.68292806,100.17254419928423,104925.0703336,271.8731418660848,,,,,,,,
problog,5.0200000000000005,0.07483314773547903,11.32,0.11661903789690607,36.720000000000006,0.14696938456699168,1537.1200000000001,8.7529195129397,7290.860000000001,60.293203597088876,,,,,,,,,,
derk,3.4270286560058594,0.010386953788181288,12.091588973999023,0.4265920015197069,37.48955726623535,0.761564007334526,306.72645568847656,24.577546744972153,998.7597942352295,68.96003474098212,9403.251123428345,745.5944376409492,55729.82301712036,2630.9391811223704,,,,,,
